spectrometer_90_referenz_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:30:13
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
597.594	17268.882
597.722	17447.706
597.850	17319.804
597.978	17362.118
598.106	17475.255
598.234	17371.961
598.363	17379.020
598.491	17512.490
598.619	17429.039
598.747	17431.725
598.875	17553.157
599.003	17544.922
599.131	17614.078
599.259	17574.196
599.388	17621.569
599.516	17716.451
599.644	17796.765
599.772	17808.980
599.900	17725.471
600.028	17724.725
600.156	17829.314
600.284	17783.235
600.413	17931.314
600.541	17968.333
600.669	18069.078
600.797	18017.725
600.925	18122.078
601.053	18125.333
601.181	18130.294
601.309	18048.569
601.438	18105.490
601.566	18102.863
601.694	18198.157
601.822	18400.667
601.950	18215.333
602.078	18264.412
602.206	18330.118
602.334	18267.216
602.463	18354.608
602.591	18454.471
602.719	18393.176
602.847	18595.824
602.975	18478.980
603.103	18538.039
603.231	18590.922
603.359	18557.745
603.488	18553.863
603.616	18561.471
603.744	18566.000
603.872	18598.529
604.000	18608.804
604.128	18581.882
604.256	18613.059
604.384	18614.784
604.513	18742.333
604.641	18750.118
604.769	18755.176
604.897	18704.686
605.025	18692.667
605.153	18706.196
605.281	18750.725
605.409	18678.765
605.538	18682.745
605.666	18733.314
605.794	18739.314
605.922	18751.980
606.050	18666.706
606.178	18770.588
606.306	18740.686
606.434	18835.471
606.563	18776.784
606.691	18827.627
606.819	18829.510
606.947	18782.176
607.075	18803.922
607.203	18742.333
607.331	18773.353
607.459	18756.765
607.588	18817.745
607.716	18838.647
607.844	18879.706
607.972	18860.020
608.100	18756.902
608.228	18742.176
608.356	18768.510
608.484	18707.059
608.613	18730.902
608.741	18720.373
608.869	18752.275
608.997	18796.588
609.125	18802.667
609.253	18722.118
609.381	18727.176
609.509	18633.824
609.638	18674.686
609.766	18681.882
609.894	18729.314
610.022	18630.490
610.150	18757.529
610.278	18683.980
610.406	18690.647
610.534	18667.627
610.663	18646.510
610.791	18791.059
610.919	18700.157
611.047	18706.451
611.175	18665.706
